Gene,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2
YALI0E00484g,70.01024358,78.4219078,95.43578811,84.05016932,68.77450896,74.57440427,79.73233541,52.40726439,77.12427214
YALI0E00506g,29.63668254,28.33602882,18.31203971,13.31164488,11.70360744,19.07267585,15.27448105,14.01140889,10.27436111
YALI0E00528g,19.32807613,20.68016361,14.26069831,12.32426269,16.73128417,25.03540614,18.91055359,18.13880716,16.15343325
YALI0E00550g,3318.78813,3188.404998,2553.675118,2511.96572,2866.468992,2549.091659,2593.151757,2999.554318,2646.403661
YALI0E00572g,88.93968264,88.29682049,62.25464054,78.31629754,111.94084699999999,115.02518290000002,114.3176095,113.407351,101.4467203
YALI0E00594g,411.4048853,386.9116856,397.9588361,456.3560734,336.7952515,365.2475275,349.96637610000005,360.32926729999997,373.8417036
YALI0E00616g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E00638g,146.8814112,163.9249667,375.80966960000006,374.74064619999996,340.91619610000004,313.19240010000004,382.45410719999995,309.74944589999996,329.0344639
YALI0E00660g,94.82297109,88.40550568,71.8318343,54.29684005,69.67306477,84.80024202,82.08503223,57.88900965,84.51367586
YALI0E00682g,14.76258351,14.84869284,17.79001607,19.13386546,11.72749134,13.36918792,13.13538569,12.14749174,12.88147024
YALI0E00704g,0.26243086,0.541861776,0.468349403,0.426544121,0.992391942,0.608911682,0.5586147539999999,1.0010041109999999,1.425864042
YALI0E00726g,340.54286460000003,370.3533912,462.6415039,429.4495197,317.9717942,351.1288953,345.68838430000005,290.2441582,374.3635702
YALI0E00748g,0.48342526799999996,0.194087917,0.790853158,1.571478339,0.699639543,0.603981223,0.83846659,1.760138807,0.520585734
YALI0E00770g,86.92128205,86.39684978,68.55869399999999,54.33295757,73.20537624,101.04339959999999,96.59624104,74.8377916,89.88542215
YALI0E00792g,23.11943488,23.12348896,25.21291899,17.75572159,10.59458687,19.09311591,15.40477901,13.93722413,12.51556338
YALI0E00814g,0.38054945799999995,0.0,0.370445855,1.124598435,0.581439096,0.44457697799999996,0.810043994,0.467855029,0.39625478
YALI0E00836g,60.55067951,67.29236597,65.16249746,82.30852294,99.55510715,127.6004818,131.81564129999998,109.4486313,96.42178661
YALI0E00858g,64.89065034,57.09137075,19.88615961,22.353849,59.71952761,74.36770977,54.60961888,90.72352749,53.10054470000001
YALI0E00880g,55.98765992,62.34644673,70.80720445,60.04519162,46.21239489,55.38657565,53.34625563,50.31092286,49.67115389
YALI0E00902g,89.34524689,79.31765074,66.85396683,52.94149269,52.98238688,74.18888945,64.33267175,55.24749265,56.53056136
YALI0E00924g,2.735011442,2.478491,1.3016162059999998,1.350076235,2.374955075,1.171565138,1.59560211,2.086460181,2.382974443
YALI0E00946g,58.15647293,54.01018827,52.23096586,48.45346773,131.7836183,132.56259540000002,126.6002463,131.45120649999998,134.4640186
YALI0E00968g,17.1561943,22.02465381,10.91222248,8.31809396,12.51178956,15.81067382,16.28976358,13.40862649,11.49814247
YALI0E00990g,84.01993136,86.07265898,217.3546531,220.5542986,110.08906340000001,94.39031832,124.7035821,107.3716909,128.6019684
YALI0E01012g,0.0,0.0,0.0,0.0,0.0,0.138783289,0.0,0.0,0.114183307
YALI0E01034g,97.20186861,97.99616317,110.1183678,95.70130047,68.98067713,62.70003962,68.90327533,53.38961864,69.92647420000002
YALI0E01056g,194.4599615,226.54405130000004,307.0251693,345.13997889999996,251.04389190000003,303.44914439999997,298.4929684,188.47943069999997,264.6734963
YALI0E01078g,97.33978272,100.0369589,97.51653403,89.00639376,83.74569438,88.0833157,80.08488998,74.2021966,80.53857813
YALI0E01100g,189.68090890000002,177.10734430000002,166.25791569999998,143.214744,150.63889890000002,182.2730741,162.631132,123.4785855,171.03718999999998
YALI0E01122g,174.9539065,147.6207216,110.5051428,107.18682279999999,184.491523,197.3329585,181.44075619999998,164.73527109999998,190.1429799
YALI0E01144g,44.16614174,43.20845937,44.35442306,34.41842434,29.19184198,52.41844841,49.51671525,30.43456942,35.04285681
YALI0E01166g,18.44501821,15.92022576,15.0429095,15.31433604,14.44328832,16.93088266,15.19080057,10.7464989,11.97752177
YALI0E01188g,63.0466427,59.77888746,58.496652299999994,58.92818372,41.04189433,46.86193336,46.08010864,39.426186,43.47701363
YALI0E01210g,36.77571567,46.152215399999996,17.11866699,11.7744806,33.99755054,42.07419983,60.80182556,24.08090814,35.83260268
YALI0E01232g,14.66570138,14.04128775,16.35829073,11.34154029,9.03859714,18.98012334,18.94432645,12.47100773,12.82774983
