Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0E34045g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
YALI0E34749g,changed_regulation,,0.0,0.0,3.040391144120668e-43,green,circle,30,2
YALI0F00286g,control_overexpressed,,0.0006112469437652812,0.0,2.9088091753602407e-31,orange,circle,30,2
YALI0F01408g,changed_regulation,,0.0006112469437652812,0.0,2.6499707692448143e-14,green,circle,30,2
YALI0F01562g,changed_regulation,,0.0,0.0,3.040391144120668e-43,green,circle,30,2
YALI0F29073g,control_overexpressed,,0.0012224938875305623,0.0010108940280986669,7.879487885500814e-12,orange,circle,30,2
YALI0F04620g,case_overexpressed,,0.0006112469437652812,0.0,1.8930207565957455e-12,lightblue,circle,30,2
YALI0F19558g,changed_regulation,,0.0,0.0,3.040391144120668e-43,green,circle,30,2
YALI0F15917g,changed_regulation,,0.0006112469437652812,0.0,5.788725877173822e-10,green,circle,30,2
YALI0F06754g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
YALI0F14949g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
YALI0F07821g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0F26521g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0F09537g,case_overexpressed,,0.0006112469437652812,0.0,1.0659411925344358e-09,lightblue,circle,30,2
YALI0F12727g,control_overexpressed,,0.0006112469437652812,0.0,2.0744433765415853e-12,orange,circle,30,2
YALI0F23551g,case_overexpressed,,0.0006112469437652812,0.0,7.746756242333744e-09,lightblue,circle,30,2
YALI0F30349g,changed_regulation,,0.0006112469437652812,0.0,6.802064125474357e-13,green,circle,30,2
YALI0F23837g,case_overexpressed,,0.0,0.0,3.040391144120668e-43,lightblue,circle,30,2
