Gene,MT_t1_rep1,MT_t1_rep2,MT_t1_rep3,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t2_rep1,WT_t2_rep2
YALI0E21175g,44.57637577,55.88859711,51.46180366,42.92493818,47.92203472,55.98304597,80.09795159999999,91.81002562,103.4770066
YALI0E21197g,85.54786093,96.30172452,96.96621108,99.44065835,91.46725143,125.6700443,169.04624990000002,158.26608180000002,177.5529665
YALI0E21219g,3734.60765,3292.378567,3310.049834,4082.4460670000003,3337.722774,4690.205241,4375.801834000001,3490.6980670000003,2565.989688
YALI0E21241g,26.74811824,30.51923091,27.33933215,27.30297376,20.51179226,23.11331134,25.13218864,26.30354201,24.11474889
YALI0E21263r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E21307g,59.04054984,87.34497691,78.64582079,64.21605318,48.09775323,116.12374469999999,37.96202903,55.899989600000005,36.32406305
YALI0E21329g,264.6597946,273.1317277,259.7357889,281.23190120000004,260.7929681,202.5883376,245.07887259999998,279.5570375,251.0050376
YALI0E21351g,9.102417458,8.830432365,7.270152179,12.33399487,11.65010913,4.916124091,5.353347653999999,7.605487133,10.88831546
YALI0E21373g,260.8928667,234.5213571,264.21060570000003,234.33671030000002,266.5719431,243.90627659999998,189.52426830000002,175.15500409999999,161.7496376
YALI0E21395g,5.988360491,8.194281707,8.454709793,9.317049389,5.849761471,13.92423251,16.62546186,19.46068407,26.66992699
YALI0E21417g,26.39715928,39.6620419,42.58148318,34.02479229,32.66435989,32.25475926,35.97058653,46.49062516,46.7155306
YALI0E21439g,16.18278969,20.56036523,16.30583051,12.13482418,13.60964664,8.283235005,8.159556683,8.13420715,11.31760693
YALI0E21461r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E21472g,151.05225019999997,168.8030103,161.9061774,143.0995554,149.4633701,60.48590854,88.34810581,89.59642149999999,86.42022706
YALI0E21505g,65.12308506,85.57013603,58.40525845,76.23146059,64.12281800000001,40.89703659,47.21591581,56.85603683,73.24658589
YALI0E21527g,23.15581198,30.820299,28.90727906,19.449813199999998,23.12725784,39.25382591,34.27383855,36.236565999999996,35.78029401
YALI0E21549g,17.69711509,17.27958573,16.2442532,34.84347215,23.74976228,91.41430528,69.68668081,73.73868081,87.80524991
YALI0E21560g,0.603605395,0.7692094340000001,0.50965178,0.784578002,0.601220314,0.0,0.0,0.512809815,0.0
YALI0E21582g,31.40452732,35.82753475,32.64373963,25.18592936,31.96848649,28.42109326,38.76767948,42.18991703,32.86228883
YALI0E21604g,44.0859596,57.58810193,53.27994933,41.98927278,49.13517087,32.32451436,65.59763649,75.96276335,90.52238317
YALI0E21626g,75.15284669,83.52029131,81.23681555,60.03361238,83.82238315,82.53575429,70.61854649,88.14491957,74.85839181
YALI0E21648g,125.57441829999999,125.0337862,116.5102821,88.66619371,113.08064409999999,73.13705063,103.95326490000001,121.54512450000001,121.74830190000002
YALI0E21670g,90.04012945,96.03748335,91.77701632,74.00396924,81.46478524,83.03974824,119.449479,147.58128469999997,159.9579502
YALI0E21692g,197.4396529,204.5420552,224.5118574,161.6971133,214.90725600000002,167.43718080000002,179.6455458,174.736151,163.3839075
YALI0E21714r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E21758g,26.90906386,35.86652655,32.07974813,22.60331863,27.26586863,33.14658555,40.99961869,56.30461838,51.71680255
YALI0E21780g,55.05864318,69.17567185,69.1827642,56.08885053,64.63449211,52.69593079,92.59321473,99.33240397,134.4027713
